gene	lasso.top1_afr	lasso.top1_meta	lasso.top1_magepro	lasso.top1_afr_pv	lasso.top1_meta_pv	lasso.top1_magepro_pv	hsq_afr	hsq_afr_se	hsq_afr.pv	hsq_eur	hsq_eur_se	hsq_eur.pv	datasets	nonzeroAFR	nonzeroMAGEPRO	alpha_beta
ENSG00000000419.12	0.0139671144053658	0.0139671144053658	0.0139671144053658	0.149491735022239	0.149491735022239	0.149491735022239	-0.188461	0.027442	0.1128	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000000457.13	0.0324668355688559	0.188528883709895	0.0639720200481264	0.0597119345524367	3.40009607251267e-05	0.0134329517028995	0.453065	0.131985	0.005429	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	10	13	0.109456619859852,0.00442428093901427,0.00611140962544578
ENSG00000000460.16	0.00021907745709715	-0.0124220091472551	-0.0103482217876045	0.316276420955495	0.861361144783289	0.663405902730056	0.029473	0.06178	0.3577	NA	NA	NA	pred.wgt,pred.wgt.mesa	3	5	0.10575159032392,1.54240050091886e-05
ENSG00000000938.12	0.00335412609053931	0.00655667790259673	0.012411422425206	0.263993568803824	0.221112420027351	0.162022666657194	0.341507	0.11889	0.003745	NA	NA	NA	pred.wgt,pred.wgt.genoa	6	7	0.160545371721916,0.000512957176588953
ENSG00000000971.15	-0.0119634001132509	-0.0119634001132509	-0.0119634001132509	0.797832398488703	0.797832398488703	0.797832398488703	0.125171	0.120726	0.1809	NA	NA	NA	pred.wgt	4	4	NA
ENSG00000001036.13	-0.0114609588439143	0.060974872370176	-0.0123169617920038	0.746959385690021	0.0154589431989236	0.844359576094272	-0.068975	0.069896	0.2728	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	1	8	0.0339180216821771,0.0149219589726569,0.00311721621427448
ENSG00000001084.10	-0.00993217935952884	-0.0121259559322715	0.00604539237002355	0.638026083633276	0.817642773344676	0.227366685722905	0.085843	0.161436	0.3333	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	2	0.0924339348187602,0.000996199625732577
ENSG00000001167.14	0.00681360414216881	0.0219583350190199	-0.000761527757458635	0.218046204707737	0.0998389127372004	0.335304056325643	-0.124431	0.074604	0.1956	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	2	0.0155912811556877,0.00327634429586077
ENSG00000001460.17	0.12918001027338	-0.00890667254001798	0.0523899625887629	0.00062223004400889	0.583838474777803	0.023139356212317	0.085351	0.104117	0.2561	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	3	0.0677381793152725,0.00364422904685939
ENSG00000001461.16	0.0701834330274225	0.0701834330274225	0.0701834330274225	0.0100431140570144	0.0100431140570144	0.0100431140570144	0.006915	0.107138	0.4816	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000001561.6	0.0155329467944456	0.0372484190549242	0.024734905654851	0.137956626086147	0.0474502016686361	0.0870306733543821	-0.024741	0.114285	0.4412	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	1	9	0.0931497695444575,0.00985417721609892,0.034655971866994
ENSG00000001617.11	0.00446203802097977	0.00446203802097977	0.00446203802097977	0.248113234262237	0.248113234262237	0.248113234262237	-0.007902	0.045914	0.4541	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000001629.9	-0.0105723301870038	0.0162132638554054	0.00123563626236345	0.678143085703097	0.133253829325789	0.297999255738687	-0.057645	0.004148	0.07107	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	2	0.0277718342596734,0.0134368389919015
ENSG00000001630.15	-0.0112220470613758	-0.0112220470613758	-0.0112220470613758	0.726432791204447	0.726432791204447	0.726432791204447	-0.057753	0.000382	0.01636	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000001631.15	-0.000264045327770024	0.0136683446178765	0.062724193559573	0.325469467880334	0.151811949540979	0.0142417994254574	0.190556	0.110436	0.03562	NA	NA	NA	pred.wgt,pred.wgt.mesa	7	9	0.432654556668612,0.172284209488484
ENSG00000002016.17	-0.012485399084716	-0.0126182977791749	-0.00209700827851989	0.872764581054157	0.900999213788306	0.363737329301939	0.049339	0.134857	0.3945	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	6	0.0603235345834705,0.00171022149204124
ENSG00000002330.13	0.0421131565985661	0.0421131565985661	0.0421131565985661	0.0376231211869198	0.0376231211869198	0.0376231211869198	-0.032273	0.048145	0.3436	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000002549.12	-0.0107647490098224	-0.0120129756483414	-0.0120971077638381	0.691498192238746	0.803645429790468	0.81396091519835	-0.1188	0.120022	0.2739	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	1	8	0.0102766428413073,1.87161636375438e-06,0.00244728508814269
ENSG00000002587.9	-0.0123448126069428	-0.0123448126069428	-0.0123448126069428	0.848672482380213	0.848672482380213	0.848672482380213	0.292279	0.174563	0.1202	NA	NA	NA	pred.wgt	4	3	NA
ENSG00000002726.20	0.365384706313816	0.365384706313816	0.365384706313816	1.74526571090748e-09	1.74526571090748e-09	1.74526571090748e-09	0.144023	0.357568	0.406	NA	NA	NA	pred.wgt	2	3	NA
ENSG00000002745.12	0.0247864641613994	0.0247864641613994	0.0247864641613994	0.086810073398141	0.086810073398141	0.086810073398141	0.195477	0.16174	0.1432	NA	NA	NA	pred.wgt	2	2	NA
